year,records,varieties,total_acres,yield_tonnes_per_acre,yield_tonnes
2024,11389,38290,9945150.2,2.039,20278161.26
2023,12124,41008,10113696.5,1.563,15807707.63
2022,11317,38982,9455541.1,1.605,15176143.47
2021,12730,44622,10339246.4,1.145,11838437.13
2020,11569,40817,9931544.5,1.59,15791155.76
2019,11621,40681,9887804.7,1.459,14426307.06
2018,11344,42359,10006636.9,1.478,14789809.34
2017,11988,44249,9887981.8,1.555,15375811.7
