rm,Label,Code,pixels_removed,old_pixel_count,new_pixel_count,old_per_pixel,new_per_pixel,target_per_pixel,reduction_pct,masc_biomass_total
ELLICE-ARCHIE,Oats,136,844,9802,8958,0.06940231484143473,0.15522037258671895,0.07594253433664462,8.612063782619943,680.3308930475891
EMERSON-FRANKLIN,Oats,136,103,69069,68965,0.07582894811147114,0.07594226503402574,0.07594253433664462,0.14956865235752395,5237.434250336619
HANOVER,Oats,136,2773,10198,7424,0.05528586550390076,0.07593343503998931,0.07594253433664462,27.200394368161586,563.8057551719206
LAKESHORE,Oats,136,183,7739,7556,0.07414330771503953,0.32659809366370485,0.07594253433664462,2.369194862037814,573.8328505671294
MCCREARY,Oats,136,76,10037,9960,0.07536274798125131,0.5032821030996388,0.07594253433664462,0.7634540517481156,756.4330009587572
NORTH NORFOLK,Oats,136,443,34994,34550,0.07497909633001831,0.07931331353286138,0.07594253433664462,1.2686408414492776,2623.84303829412
PINEY,Oats,136,1921,11189,9267,0.0629015919444792,0.10282071780094806,0.07594253433664462,17.172119031946455,703.8078133474895
PIPESTONE,Oats,136,3921,33386,29464,0.0670232331274612,0.07594229223455227,0.07594253433664462,11.744803208232657,2237.6396406910826
PORTAGE LA PRAIRIE,Oats,136,2354,46289,43934,0.07207944845353512,0.07594147128815697,0.07594253433664462,5.086854049385412,3336.4885410451766
RITCHOT,Oats,136,1254,15763,14508,0.06989942524858621,0.07594083774957626,0.07594253433664462,7.957476190180845,1101.825614908602
ROSSER,Oats,136,879,27104,26224,0.07347955974052131,0.0759424880473522,0.07594253433664462,3.243208325396718,1991.5917490418112
SIFTON,Oats,136,806,14168,13361,0.07161719401252671,0.09380895129741927,0.07594253433664462,5.695543823892106,1014.7314261841842
SOURIS-GLENWOOD,Oats,136,3219,21370,18150,0.06449988650751984,0.07593872480946498,0.07594253433664462,15.067508516901517,1378.3637940165988
SPRINGFIELD,Oats,136,7414,46038,38623,0.06371134799708227,0.0759410116470928,0.07594253433664462,16.105844302407522,2933.145633857312
ST. ANDREWS,Oats,136,3310,16949,13638,0.06110735130614721,0.07593734243817162,0.07594253433664462,19.53474842534848,1035.7094135142227
STANLEY,Oats,136,272,33982,33709,0.07533439071779362,0.07594231771151583,0.07594253433664462,0.8007944746157198,2560.0155300551987
STE. ANNE,Oats,136,632,8057,7424,0.06997707042432418,0.07593343503998931,0.07594253433664462,7.855234177300721,563.8057551719206
TACHE,Oats,136,1762,21979,20216,0.06985323382009981,0.07594131593803763,0.07594253433664462,8.018300376376231,1535.3055843193067
TWO BORDERS,Oats,136,24779,146979,122199,0.06313919932636547,0.07594226339888989,0.07594253433664462,16.859241164540844,9280.144587344344
VICTORIA,Oats,136,397,14497,14099,0.07385852347985623,0.07593815333989327,0.07594253433664462,2.744194508376828,1070.727962092495
WALLACE-WOODWORTH,Oats,136,883,26151,25267,0.07337565872543174,0.2176357436865788,0.07594253433664462,3.380023637128328,1918.894352084565
WEST INTERLAKE,Oats,136,674,4387,3712,0.06425863419293136,0.07592320969188265,0.07594253433664462,15.38518597749168,281.9028775859603
WEST ST. PAUL,Oats,136,1273,6223,4949,0.0604001560242948,0.07593343503998931,0.07594253433664462,20.46597265697273,375.8705034479471
WOODLANDS,Oats,136,1831,31869,30038,0.07157924916758865,0.07711259585649423,0.07594253433664462,5.745509031492191,2281.221923222669
ALONSA,Rye,137,594,2796,2201,0.08241204275632662,0.10464317683397362,0.10466794620750455,21.26334208092279,230.4242753884099
EMERSON-FRANKLIN,Rye,137,394,2401,2006,0.08749065751554097,0.10466629522979667,0.10466794620750455,16.41122169141406,210.06525452620193
GLENBORO-SOUTH CYPRESS,Rye,137,195,17529,17333,0.1035018105162166,0.10466625369339583,0.10466794620750455,1.1141287600848482,1814.2848415213232
GLENELLA-LANSDOWNE,Rye,137,361,6756,6394,0.09907054854516079,0.10466320845614935,0.10466794620750455,5.347766785494108,669.3212180770751
HANOVER,Rye,137,71,3179,3107,0.10232057391260097,0.1046581056050215,0.10466794620750455,2.2426849670384446,325.27739222040685
NORTH CYPRESS-LANGFORD,Rye,137,7160,51755,44594,0.09018653573257715,0.10466662823132887,0.10466794620750455,13.835573353295722,4667.608285976111
OAKVIEW,Rye,137,160,2167,2006,0.09693819505990486,0.10466629522979667,0.10466794620750455,7.385022280150058,210.06525452620193
PIPESTONE,Rye,137,533,4853,4319,0.09316163122360627,0.10465597136215743,0.10466794620750455,10.993160180182548,452.1137962845201
RITCHOT,Rye,137,354,1455,1100,0.07918352974113031,0.10464317683397362,0.10466794620750455,24.34787094785571,115.21213769420496
ROLAND,Rye,137,734,5569,4834,0.09086407904768917,0.10465822210187166,0.10466794620750455,13.18824688930951,506.02250386254946
SOURIS-GLENWOOD,Rye,137,1064,10388,9323,0.09393832435545588,0.10465810560502153,0.10466794620750455,10.251105749965859,975.8321766612208
STANLEY,Rye,137,2144,7259,5114,0.073748749574731,0.10466131901204473,0.10466794620750455,29.54027259833316,535.3426467466088
BRENDA-WASKADA,Winter wheat,145,25,1327,1301,0.11204782720705898,0.11419938420755864,0.1142540038805647,1.9309403597023445,148.68759823824135
DAUPHIN,Winter wheat,145,0,3904,3904,0.11425400388056468,0.11917253398736952,0.1142540038805647,1.164784559673646e-14,446.0627947147241
GRASSLAND,Winter wheat,145,0,3904,3904,0.11425400388056468,0.441209490321191,0.1142540038805647,1.164784559673646e-14,446.0627947147241
PEMBINA,Winter wheat,145,12,1314,1301,0.11315636735446519,0.11419938420755864,0.1142540038805647,0.9606985215563411,148.68759823824135
ROCKWOOD,Winter wheat,145,0,3904,3904,0.11425400388056468,0.32440930524707207,0.1142540038805647,1.164784559673646e-14,446.0627947147241
SPRINGFIELD,Winter wheat,145,0,3904,3904,0.11425400388056468,0.41340388759473967,0.1142540038805647,1.164784559673646e-14,446.0627947147241
ST. CLEMENTS,Winter wheat,145,132,2735,2602,0.10872940892414427,0.11424325642584814,0.1142540038805647,4.835362235703837,297.3751964764827
WESTLAKE-GLADSTONE,Winter wheat,145,2407,10760,8352,0.08869352251920717,0.11425154394270737,0.1142540038805647,22.371628558485472,954.3431465534346
WHITEMOUTH,Winter wheat,145,605,4510,3904,0.09890518849474543,0.11422862860812397,0.1142540038805647,13.433940925049884,446.0627947147241
BIFROST-RIVERTON,Spring wheat,146,9995,131930,121934,0.07574672375634167,0.08195574778028476,0.08195611205843584,7.576479833092595,9993.274105589022
CLANWILLIAM-ERICKSON,Spring wheat,146,5477,44496,39018,0.07186730372125545,0.08195521093007785,0.08195611205843584,12.310013352008356,3197.810375280708
CORNWALLIS,Spring wheat,146,8443,112591,104147,0.07581017205339684,0.08195597258251237,0.08195611205843584,7.499062425822332,8535.550632523498
DAUPHIN,Spring wheat,146,63389,307259,243869,0.06504801126657038,0.0819559789011963,0.08195611205843584,20.63067703822961,19986.60457463474
EAST ST PAUL,Spring wheat,146,213,2937,2723,0.07599279248695345,0.08193503266413704,0.08195611205843584,7.276235318764823,223.19102897710928
FISHER,Spring wheat,146,9875,79397,69521,0.07176204696992992,0.08195529880701838,0.08195611205843584,12.438443982356558,5697.696283661532
GILBERT PLAINS,Spring wheat,146,25714,299181,273466,0.07491195838010714,0.08051451877319792,0.08195611205843584,8.595031537496704,22412.26298926369
GLENBORO-SOUTH CYPRESS,Spring wheat,146,9875,71950,62075,0.0707070201288656,0.07932639337968701,0.08195611205843584,13.725751072170786,5087.439586619467
GLENELLA-LANSDOWNE,Spring wheat,146,33341,249515,216173,0.07100478358206676,0.08195608282394858,0.08195611205843584,13.362430453705068,17716.77424838426
GRAHAMDALE,Spring wheat,146,4986,22177,17190,0.06352775887224626,0.08195313564280944,0.08195611205843584,22.48563618177726,1408.856354835537
GRANDVIEW,Spring wheat,146,16776,292444,275667,0.07725456808383885,0.07966040307432191,0.08195611205843584,5.736660581513085,22592.646236714587
HANOVER,Spring wheat,146,13362,108568,95205,0.07186905737285658,0.08195582971028757,0.08195611205843584,12.307873607263172,7802.686723397638
HARRISON PARK,Spring wheat,146,8972,197599,188626,0.07823449060844014,0.08195576871495165,0.08195611205843584,4.540993168809843,15459.070785395184
HILLSBURG-ROBLIN-SHELL RIVER,Spring wheat,146,30846,325471,294624,0.07418877026272341,0.08195609539886195,0.08195611205843584,9.477440547904706,24146.3146068897
MCCREARY,Spring wheat,146,17833,89394,71560,0.06560672464730254,0.08195599183051745,0.08195611205843584,19.94895438606943,5864.852731383659
MOUNTAIN,Spring wheat,146,13027,189201,176173,0.07631290662316527,0.08195585624907997,0.08195611205843584,6.885643173564504,14438.491018825416
NORTH CYPRESS-LANGFORD,Spring wheat,146,2490,344463,341973,0.08136366106213033,0.08195664420073775,0.08195611205843584,0.7228881183176217,28026.79557397049
NORTH NORFOLK,Spring wheat,146,2398,165129,162730,0.08076549156912449,0.08195572236071662,0.08195611205843584,1.4527537475941115,13336.736655481776
REYNOLDS,Spring wheat,146,5791,20156,14364,0.058406234987414235,0.08195176566886335,0.08195611205843584,28.734741655668355,1177.237113833222
ROSSBURN,Spring wheat,146,48126,221607,173480,0.06415774403834071,0.08195605144485493,0.08195611205843584,21.716950173776716,14217.817760704878
ST. CLEMENTS,Spring wheat,146,8838,102674,93835,0.07490138587593338,0.08115524346577294,0.08195611205843584,8.607931739700318,7690.433181303575
STE. ROSE,Spring wheat,146,28653,135189,106535,0.06458548673987577,0.08195591246962405,0.08195611205843584,21.19503339320754,8731.255090863868
STUARTBURN,Spring wheat,146,2516,16669,14152,0.069583883678666,0.08195398736133157,0.08195611205843584,15.096163140277167,1159.8947831249257
WALLACE-WOODWORTH,Spring wheat,146,144034,632819,488785,0.06330230015893513,0.08195614374801077,0.08195611205843584,22.760733069182535,40058.93372187144
