rm,Label,Code,pixels_removed,old_pixel_count,new_pixel_count,old_per_pixel,new_per_pixel,target_per_pixel,reduction_pct,masc_biomass_total
GLENELLA-LANSDOWNE,Soybeans,158,1629,92994,91364,0.03535462468853727,0.03598501479524875,0.03598532931468428,1.752671541870936,3287.770876767902
GRANDVIEW,Soybeans,158,1951,9440,7488,0.028545116539125042,0.0359815914686764,0.03598532931468428,20.675683444484033,269.46613850891754
HANOVER,Soybeans,158,10723,74750,64026,0.030823057823110594,0.035985218899880225,0.03598532931468428,14.345489092042731,2304.025610502631
LAKESHORE,Soybeans,158,9940,75769,65828,0.03126412955312626,0.03598495993688849,0.03598532931468428,13.119790346427296,2368.853927685432
MCCREARY,Soybeans,158,718,15246,14527,0.03428957407467213,0.0359842585911413,0.03598532931468428,4.71235159523793,522.7793088121008
MOSSEY RIVER,Soybeans,158,10610,75008,64397,0.030894758950993466,0.0359849083731466,0.03598532931468428,14.146238093793254,2317.356129413895
NORFOLK-TREHERNE,Soybeans,158,704,87629,86924,0.03569619473614202,0.03598532776184165,0.03598532931468428,0.8034790400661266,3128.0246156980857
NORTH CYPRESS-LANGFORD,Soybeans,158,6255,54539,48283,0.031857755583818495,0.03598483283974809,0.03598532931468428,11.470156893024397,1737.491668834397
PINEY,Soybeans,158,13306,50148,36841,0.026436726797249867,0.035984749694246664,0.03598532931468428,26.534709280923508,1325.7501482354355
PIPESTONE,Soybeans,158,13848,51725,37876,0.02635071368820537,0.03598468387873271,0.03598532931468428,26.773731990129047,1362.9918712747588
REYNOLDS,Soybeans,158,995,23930,22935,0.034488981767811046,0.027143613461227827,0.03598532931468428,4.158215515517409,825.3287109020933
ROSEDALE,Soybeans,158,5926,28169,22242,0.028413780921235074,0.035983837738755624,0.03598532931468428,21.04065333746866,800.3885028231414
RUSSELL-BINSCARTH,Soybeans,158,1501,5246,3744,0.02568298705007057,0.03597678751787951,0.03598532931468428,28.629284380092386,134.73306925445877
SIFTON,Soybeans,158,3543,16648,13104,0.028325644235124074,0.03598365069748995,0.03598532931468428,21.285577276722524,471.56574239060575
ST. CLEMENTS,Soybeans,158,238,77964,77725,0.035875165451825786,0.03598504842126544,0.03598532931468428,0.3061354862008921,2796.9738735912774
STE. ANNE,Soybeans,158,6429,40949,34519,0.030335341455330348,0.03598502306351136,0.03598532931468428,15.700809099024655,1242.2029961524122
TACHE,Soybeans,158,1716,105229,103513,0.03539849611643886,0.03566629654351787,0.03598532931468428,1.6307567817809405,3724.952344708463
TWO BORDERS,Soybeans,158,6615,54709,48093,0.03163371629704812,0.03598474894772305,0.03598532931468428,12.092741960431159,1730.6505158917923
VICTORIA,Soybeans,158,5991,45558,39566,0.031252588806025425,0.03498839823479135,0.03598532931468428,13.151861046683827,1423.8178777665992
WHITEHEAD,Soybeans,158,11058,63334,52275,0.029702107859777477,0.03598505936432509,0.03598532931468428,17.460508419865576,1881.1549633294585
WHITEMOUTH,Soybeans,158,11562,69698,58135,0.030015376069443565,0.0354206448630731,0.03598532931468428,16.589964185223113,2092.0141269028236
WINNIPEG,Soybeans,158,2384,20906,18521,0.03188155907508683,0.035985123833740744,0.03598532931468428,11.404009127471987,666.516463648546
YELLOWHEAD,Soybeans,158,1060,16037,14976,0.03360552474020581,0.03598399392520766,0.03598532931468428,6.613263293125837,538.9322770178351
BIFROST-RIVERTON,Peas,162,491,6142,5651,0.052344678848944996,0.0651025026673106,0.05689361912653594,7.9955192646010715,321.5412606738471
BRENDA-WASKADA,Peas,162,2006,25731,23724,0.052458062354133125,0.05689355517454871,0.05689361912653594,7.796228892624639,1349.799596516168
CORNWALLIS,Peas,162,896,3527,2630,0.04243067075430681,0.05688069484570106,0.05689361912653594,25.421037709101224,149.6531081390395
DAUPHIN,Peas,162,2078,10569,8490,0.04570429478468972,0.07531387049788688,0.05689361912653594,19.667098900775272,483.0631653734464
ELLICE-ARCHIE,Peas,162,1472,6733,5260,0.04445357960803211,0.05689150661054532,0.05689361912653594,21.86543888311305,299.3062162780789
FISHER,Peas,162,1860,8897,7036,0.044997050064208705,0.05689059380074549,0.05689361912653594,20.91019914881548,400.339108575846
GILBERT PLAINS,Peas,162,1643,10908,9264,0.04832185437635017,0.05689101498380135,0.05689361912653594,15.06630248134063,527.0952538249195
GRANDVIEW,Peas,162,3388,19780,16391,0.04714672125957012,0.06253567604420922,0.05689361912653594,17.131794420193145,932.594536847292
HILLSBURG-ROBLIN-SHELL RIVER,Peas,162,3412,25908,22495,0.049400640925834155,0.056893356033463995,0.05689361912653594,13.170155661985236,1279.872937328806
LAKESHORE,Peas,162,532,5737,5204,0.05161380926659098,0.05688927679365591,0.05689361912653594,9.280144137433469,296.108685710979
MINTO-ODANAH,Peas,162,8071,27137,19065,0.03997099301209951,0.05689152401809768,0.05689361912653594,29.744330514111194,1084.6937969290504
NORTH NORFOLK,Peas,162,463,4630,4160,0.051109165769835284,0.0,0.05689361912653594,10.16713903159435,236.68177776638584
OAKVIEW,Peas,162,831,15432,14600,0.05382875121527328,0.05689240624678175,0.05689361912653594,5.387015201908936,830.6860236092602
PIPESTONE,Peas,162,6730,33635,26904,0.04550888446765669,0.05689249891009944,0.05689361912653594,20.010565039918962,1530.6926831762255
PORTAGE LA PRAIRIE,Peas,162,3481,14493,11012,0.04322708544467433,0.09871171444364775,0.05689361912653594,24.021206405354786,626.5232515738322
PRAIRIE VIEW,Peas,162,489,29275,28785,0.05594292222880609,0.056893298723144796,0.05689361912653594,1.6710079483877194,1637.730497044446
RIDING MOUNTAIN WEST,Peas,162,634,32513,31878,0.055783025324646275,0.05689247174702448,0.05689361912653594,1.9520533566683769,1813.6751068233932
RITCHOT,Peas,162,633,4579,3945,0.04902368718621101,0.05688790223227552,0.05689361912653594,13.832714566499234,224.4796622085592
SPRINGFIELD,Peas,162,338,4284,3945,0.05239950131317932,0.05688790223227552,0.05689361912653594,7.899159663865555,224.4796622085592
STANLEY,Peas,162,31,2294,2263,0.056119121575250515,0.06359421990212762,0.05689361912653594,1.361308285842883,128.7782953018084
THOMPSON,Peas,162,88,6776,6688,0.05615228652619357,0.48046908709459774,0.05689361912653594,1.3030153674941762,380.5315169789214
TWO BORDERS,Peas,162,8807,58047,49239,0.04826096402285552,0.05689290529775037,0.05689361912653594,15.173327406858602,2801.406656861228
WALLACE-WOODWORTH,Peas,162,553,26190,25636,0.05569173652173457,0.05689307913588094,0.05689361912653594,2.1125086138891738,1458.5678698065797
WESTLAKE-GLADSTONE,Peas,162,1452,7662,6209,0.04610514813436313,0.05688533937365019,0.05689361912653594,18.96253245584254,353.25795751036765
BOISSEVAIN-MORTON,Beans,167,1759,14873,13113,0.034053170783095534,0.03862080655038135,0.03862293423460081,11.831735579042055,506.47325710170105
CARTWRIGHT-ROBLIN,Beans,167,426,1856,1429,0.029748712226831845,0.03861095016574601,0.03862293423460081,22.976560905149697,55.2136587370168
DELORAINE-WINCHESTER,Beans,167,696,4069,3372,0.03201107636480775,0.03891964006586521,0.03862293423460081,17.118994195603463,130.26403530045084
DUFFERIN,Beans,167,1721,41743,40021,0.037029912677419445,0.03862228305213166,0.03862293423460081,4.124548247694328,1545.7410123124132
KILLARNEY-TURTLE MTN,Beans,167,26,3209,3182,0.03830624194028671,0.03861917660388862,0.03862293423460081,0.8199591786332789,122.92483913017747
NORTH CYPRESS-LANGFORD,Beans,167,4396,19461,15064,0.029897218632747236,0.0386213266857081,0.03862293423460081,22.592057736609096,581.8302865201925
PEMBINA,Beans,167,2893,15313,12419,0.03132590534247052,0.03862270634976456,0.03862293423460081,18.892994633207234,479.69401286407583
STANLEY,Beans,167,410,60750,60339,0.03836196556802047,0.03862266274270836,0.03862293423460081,0.6756831705099939,2330.4914698950224
SWAN VALLEY WEST,Beans,167,279,8848,8569,0.03740338455790402,0.0395282917382568,0.03862293423460081,3.1575790417400302,330.9703867244242
THOMPSON,Beans,167,1570,20499,18928,0.03566421856057303,0.038622297163850246,0.03862293423460081,7.6605150091812,731.0814630145213
WOODLANDS,Beans,167,538,2292,1753,0.02954237368821125,0.03860386567455,0.03862293423460081,23.510799286333437,67.7111803931607
MORRIS,Millet,135,337,1393,1055,0.10118543725929288,0.13347674128123121,0.13347881070894668,24.19363289059428,140.95143879298016
DAUPHIN,Potatoes,177,0,1181,998,0.13638106824719864,0.0,0.16132404294894437,15.46141185516883,161.09249335626447
LORNE,Potatoes,177,0,828,802,0.1563438237909063,0.0,0.16132404294894437,3.0870904714520435,129.52167666857991
NORTH CYPRESS-LANGFORD,Potatoes,177,18496,138820,120323,0.13982878233499038,0.1613231669115493,0.16132404294894437,13.324275923804358,19411.048735465258
NORTH NORFOLK,Potatoes,177,2618,24214,21595,0.1438807221149578,0.16132297125874964,0.16132404294894437,10.812598367316516,3483.930887303957
PORTAGE LA PRAIRIE,Potatoes,177,174,17160,16985,0.1596792597366655,0.7106116907950587,0.16132404294894437,1.0195524375739864,2740.118679705746
RHINELAND,Potatoes,177,767,18839,18071,0.15474773137828404,0.2744899889547028,0.16132404294894437,4.076460923274537,2915.3581726878983
STANLEY,Potatoes,177,1792,21885,20093,0.14811322833583035,0.2257216058662003,0.16132404294894437,8.188993017795228,3241.5879818445023
STUARTBURN,Potatoes,177,0,3190,2799,0.14156403784350916,0.0,0.16132404294894437,12.248642387228568,451.70666338110885
SWAN VALLEY WEST,Potatoes,177,0,828,802,0.1563438237909063,0.0,0.16132404294894437,3.0870904714520435,129.52167666857991
THOMPSON,Potatoes,177,105,3756,3651,0.1568141921753175,0.22777361381457106,0.16132404294894437,2.795523030038467,589.0225653244808
DAUPHIN,Hemp,197,142,1358,1215,0.07441068670729208,0.0831001660697731,0.08311832416182613,10.476194680707025,101.04980194084408
GREY,Triticale,139,0,3743,3743,0.11924275871651896,0.3003916944510219,0.11924275871651897,1.2147739290249932e-14,446.3820579542185
LOUISE,Triticale,139,0,3743,3743,0.11924275871651896,0.6208373545955751,0.11924275871651897,1.2147739290249932e-14,446.3820579542185
CARTIER,Lentils,174,13,1140,1126,0.06563727006598251,0.06639445791439195,0.06641547572381536,1.171723381262786,74.82655406951973
GRASSLAND,Wheat,140,0,3743,3743,0.11924275871651896,0.0,0.11924275871651897,1.2147739290249932e-14,446.3820579542185
TWO BORDERS,Wheat,140,0,7486,7486,0.11924275871651896,0.0,0.11924275871651897,1.2147739290249932e-14,892.764115908437
