rm,Label,current_pixels,target_pixels,pixels_to_remove,reduction_pct,current_per_pixel,target_per_pixel,new_per_pixel,masc_biomass_total
CARTWRIGHT-ROBLIN,Pasture/forages,37258,29916,7342,19.706814912213833,0.030662447165262348,0.03818810666401946,0.03818810666401946,1142.4481932051317
CLANWILLIAM-ERICKSON,Pasture/forages,21558,20563,994,4.613222698286135,0.03642640425934919,0.03818810666401946,0.03818810666401946,785.2901480674614
COLDWELL,Pasture/forages,35221,24755,10465,29.714312945133702,0.026840773142051258,0.03818810666401946,0.03818810666401946,945.372648145461
DAUPHIN,Pasture/forages,51794,37497,14296,27.60320496365822,0.02764696530980974,0.03818810666401946,0.03818810666401946,1431.9539204846722
DELORAINE-WINCHESTER,Pasture/forages,31777,29493,2283,7.186925763419589,0.03544355578762089,0.03818810666401946,0.03818810666401946,1126.311431514079
ELTON,Pasture/forages,12873,9541,3331,25.88087028787679,0.028304692312908553,0.03818810666401946,0.03818810666401946,364.36810764407943
GIMLI,Pasture/forages,12439,10005,2434,19.572135941092217,0.030713878514408273,0.03818810666401946,0.03818810666401946,382.08006954719355
GLENELLA-LANSDOWNE,Pasture/forages,56723,50798,5925,10.445467126261162,0.03419918053628775,0.03818810666401946,0.03818810666401946,1939.894458496488
HAMIOTA,Pasture/forages,11046,10303,742,6.718845376368635,0.035622306825101265,0.03818810666401946,0.03818810666401946,393.48617290018
MCCREARY,Pasture/forages,46948,33079,13869,29.542474760612546,0.02690639489124571,0.03818810666401946,0.03818810666401946,1263.226978638323
MINTO-ODANAH,Pasture/forages,26353,19679,6673,25.32296194753416,0.028517746945006053,0.03818810666401946,0.03818810666401946,751.5387816697814
OAKVIEW,Pasture/forages,41534,32489,9045,21.778942834557242,0.029871140744062916,0.03818810666401946,0.03818810666401946,1240.6974583257163
PRAIRIE LAKES,Pasture/forages,49622,42891,6731,13.56475393793829,0.033007983961487804,0.03818810666401946,0.03818810666401946,1637.9545593336709
ROCKWOOD,Pasture/forages,48068,41569,6498,13.519883433434874,0.03302511915760825,0.03818810666401946,0.03818810666401946,1587.4602060383784
YELLOWHEAD,Pasture/forages,25786,23469,2316,8.984613794895905,0.034757052764674404,0.03818810666401946,0.03818810666401946,896.2604653579979
ALONSA,Barley,5169,4560,608,11.780434430287341,0.08855502597576964,0.10038025624348819,0.10038025624348818,457.7413342034375
BIFROST-RIVERTON,Barley,10118,8841,1277,12.621660001723631,0.08771060159157615,0.10038025624348819,0.10038025624348819,887.4968874864643
BROKENHEAD,Barley,7184,6245,938,13.063726371675797,0.08726685423665188,0.10038025624348819,0.10038025624348819,626.9256354373967
DELORAINE-WINCHESTER,Barley,13130,10978,2151,16.386661068123367,0.08393128387355403,0.10038025624348819,0.10038025624348819,1102.0187321457404
DESALABERRY,Barley,12938,10344,2593,20.049404517060818,0.08025461261396905,0.10038025624348819,0.10038025624348819,1038.3350965486402
GRANDVIEW,Barley,12539,11439,1099,8.768246025117046,0.09157866841541623,0.10038025624348819,0.10038025624348819,1148.316437175047
GREY,Barley,15066,13002,2063,13.69476985089208,0.08663341117520676,0.10038025624348819,0.10038025624348819,1305.220127411009
HEADINGLEY,Barley,2723,2498,224,8.25557256762672,0.09209329134573738,0.10038025624348819,0.1003802562434882,250.77025417495872
MACDONALD,Barley,9296,7494,1801,19.37820270061775,0.08092836671722554,0.10038025624348819,0.10038025624348819,752.3107625248763
MORRIS,Barley,10907,10890,16,0.14770226746058135,0.1002319923289338,0.10038025624348819,0.10038025624348819,1093.2313074439808
NORFOLK-TREHERNE,Barley,7727,6245,1481,19.17300508012408,0.08113434461448263,0.10038025624348819,0.10038025624348819,626.9256354373969
NORTH NORFOLK,Barley,27157,25609,1547,5.6991223521846255,0.09465946262273535,0.10038025624348819,0.10038025624348819,2570.6938481337297
OAKVIEW,Barley,40227,40038,188,0.4679660429182437,0.09991051073047436,0.10038025624348819,0.10038025624348819,4019.1036706005298
PINEY,Barley,1644,1249,394,24.020658181766287,0.0762682580092588,0.10038025624348819,0.1003802562434882,125.38512708747936
PORTAGE LA PRAIRIE,Barley,48363,35632,12730,26.322023447782122,0.07395814165813344,0.10038025624348819,0.10038025624348819,3576.8407692161477
ROLAND,Barley,3845,3747,97,2.5409326794463416,0.09782966150888542,0.10038025624348819,0.10038025624348819,376.15538126243814
ROSSBURN,Barley,20961,19153,1807,8.624206088315049,0.09172325607307102,0.10038025624348819,0.10038025624348818,1922.6128713611315
ROSSER,Barley,19660,16588,3071,15.625172756965231,0.08469566779155879,0.10038025624348819,0.1003802562434882,1665.118301806445
ST. CLEMENTS,Barley,2752,2498,253,9.222356141587053,0.09112283151687604,0.10038025624348819,0.1003802562434882,250.77025417495872
THOMPSON,Barley,21427,19838,1588,7.412314250425448,0.09293975620533854,0.10038025624348819,0.10038025624348819,1991.421917896272
WALLACE-WOODWORTH,Barley,88184,72482,15701,17.805420071447873,0.08250712995053934,0.10038025624348819,0.10038025624348819,7275.815184009922
WEST INTERLAKE,Barley,3438,2498,939,27.335638191287835,0.07294067258128065,0.10038025624348819,0.1003802562434882,250.77025417495872
WESTLAKE-GLADSTONE,Barley,49034,45907,3126,6.375321534677793,0.09398069215063233,0.10038025624348819,0.10038025624348818,4608.253335543132
WHITEHEAD,Barley,14808,14372,436,2.9448112977303644,0.09742424711693927,0.10038025624348819,0.10038025624348819,1442.700870861307
WOODLANDS,Barley,31811,25492,6318,19.864063626654634,0.08044065827468273,0.10038025624348819,0.10038025624348819,2558.902900877415
ALONSA,Oats,7534,7208,325,4.3172609628273975,0.07266389694754687,0.07594253433664462,0.07594253433664462,547.4543899901612
BIFROST-RIVERTON,Oats,34169,33573,595,1.7418967625544544,0.0746196937896328,0.07594253433664462,0.07594253433664462,2549.6825726401885
BROKENHEAD,Oats,17909,14273,3635,20.299352304204668,0.06052669174290753,0.07594253433664462,0.07594253433664462,1083.9734813462196
CARTIER,Oats,18562,16966,1595,8.597711076629318,0.0694132146501099,0.07594253433664462,0.07594253433664462,1288.4492301445364
DAUPHIN,Oats,10185,8661,1523,14.958719560883358,0.0645825035977984,0.07594253433664462,0.07594253433664461,657.7733810339074
ELLICE-ARCHIE,Oats,9802,8958,844,8.612063782619943,0.06940231484143473,0.07594253433664462,0.07594253433664462,680.3308930475891
EMERSON-FRANKLIN,Oats,69069,68965,103,0.14956865235752395,0.07582894811147114,0.07594253433664462,0.07594253433664462,5237.434250336619
HANOVER,Oats,10198,7424,2773,27.200394368161586,0.05528586550390076,0.07594253433664462,0.07594253433664462,563.8057551719206
LAKESHORE,Oats,7739,7556,183,2.369194862037814,0.07414330771503953,0.07594253433664462,0.07594253433664462,573.8328505671294
