0
SALT POINT-NORTHERN AFFAIRS ACT
SPENCE LAKE-NORTHERN AFFAIRS ACT
WATERHEN-NORTHERN AFFAIRS ACT
LGD OF PINAWA
MEADOW PORTAGE-NORTHERN AFFAIRS ACT
DALLAS/RED ROSE-NORTHERN AFFAIRS ACT
HOMEBROOK - PEONAN POINT-NORTHERN AFFAIRS ACT
HARWILL-NORTHERN AFFAIRS ACT
UNORG TERRITORY
